address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,location,location_description,longitude,primary_type,timestamp,unique_key,x_coordinate,y_coordinate,year,zipcode
(30.328392 -97.707023),15.03,2014-09-03 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,I,30.328392,(30.328392-97.707023),6700 MIDDLE FISKVILLE RD,-97.707023,Theft: BOV,2014-09-01 00:00:00,20145038725.0,3124980.0,10093012.0,2014.0,78752.0
505 E HUNTLAND DR Austin TX 78752,15.03,2015-07-15 00:00:00,Cleared by Arrest,4.0,THEFT,I,30.32936427457502,,505 E HUNTLAND DR,-97.700502411477,Theft,2015-05-27 00:00:00,20151470411.0,3124632.0,10093682.0,2015.0,78752.0
Austin TX 78723,21.05,2014-07-23 00:00:00,Not cleared,4.0,THEFT,I,30.32936427457502,,5345 N IH 35 SVRD NB,-97.700502411477,Theft: All Other Larceny,2014-07-20 00:00:00,20145031847.0,3125095.0,10087249.0,2014.0,78723.0
615 W ST JOHNS AVE Austin TX 78752,15.03,2015-07-04 00:00:00,Not cleared,4.0,THEFT OF LICENSE PLATE,I,30.32936427457502,,615 W ST JOHNS AVE,-97.700502411477,Theft,2015-07-04 00:00:00,20155029033.0,3122161.0,10096490.0,2015.0,78752.0
2505 SWEENEY LN Austin TX 78723,21.12,2015-07-03 00:00:00,Not cleared,1.0,THEFT,I,30.32936427457502,,2505 SWEENEY LN,-97.700502411477,Theft,2015-07-02 00:00:00,20155028699.0,3132743.0,10085837.0,2015.0,78723.0
Austin TX 78723,21.05,2014-03-28 00:00:00,Cleared by Arrest,4.0,THEFT BY SHOPLIFTING,I,30.32936427457502,,5621 N IH 35 SVRD NB,-97.700502411477,Theft: Shoplifting,2014-03-27 00:00:00,2014861619.0,3125468.0,10088596.0,2014.0,78723.0
7200 N IH 35 SVRD SB Austin TX 78752,18.04,2015-03-15 00:00:00,Cleared by Arrest,4.0,THEFT,I,30.32936427457502,,7200 N IH 35 SVRD SB,-97.700502411477,Theft,2015-02-24 00:00:00,2015550579.0,3125790.0,10094778.0,2015.0,78752.0
1806 NORTHRIDGE DR Austin TX 78723,21.06,2015-04-21 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,I,30.32936427457502,,1806 NORTHRIDGE DR,-97.700502411477,Theft,2015-04-16 00:00:00,20155015961.0,3129966.0,10086822.0,2015.0,78723.0
(30.327536 -97.707569),15.03,2014-03-31 00:00:00,Cleared by Arrest,4.0,THEFT,I,30.327536,(30.327536-97.707569),6600 MIDDLE FISKVILLE RD,-97.707569,Theft: All Other Larceny,2014-03-28 00:00:00,2014871276.0,3124701.0,10092754.0,2014.0,78752.0
(30.305784 -97.680497),21.12,2014-11-13 00:00:00,Not cleared,1.0,BURGLARY NON RESIDENCE,I,30.305784,(30.305784-97.680497),5800 MANOR RD,-97.680497,"Burglary / ",,,,,,
